height,reach,sig_strikes_landed_pm,sig_strikes_accuracy,sig_strikes_absorbed_pm,sig_strikes_defended,takedown_avg_per15m,takedown_accuracy,takedown_defence,submission_avg_attempted_per15m,curr_weight,age,fighter_name
182.88,190.5,6.55,0.5,6.32,0.51,1.35,0.26,0.66,0.5,120.20188,39.893223819301845,Parker Porter
193.04,198.12,6.97,0.5,4.06,0.52,0.0,0.0,0.6,0.0,117.93392,33.445585215605746,Waldo Cortes-Acosta
193.04,198.12,5.08,0.48,3.46,0.57,0.64,0.5,0.42,0.6,107.047712,32.824093086926766,Lukasz Brzeski
167.64,177.8,5.29,0.44,3.52,0.57,0.0,0.0,0.75,0.0,61.23492,28.427104722792606,Garrett Armfield
170.18,175.26,2.22,0.54,3.94,0.45,1.51,0.13,0.66,0.0,61.23492,27.83025325119781,Toshiomi Kazama
182.88,187.96,5.12,0.5,4.17,0.62,0.76,0.44,0.48,0.0,83.91452,30.05612594113621,Michal Oleksiejczuk
190.5,203.2,4.04,0.6,3.19,0.53,0.0,0.0,0.67,0.3,83.91452,36.199863107460644,Chidi Njokuani
182.88,180.34,4.4,0.47,5.86,0.52,0.41,0.66,0.62,0.0,77.11064,35.011635865845314,Song Kenan
180.34,187.96,8.7,0.55,6.83,0.52,0.0,0.0,0.0,0.0,77.11064,28.164271047227928,Rolando Bedoya
177.8,182.88,10.22,0.46,4.3,0.64,4.04,0.4,1.0,0.0,77.11064,26.7378507871321,Billy Goff
182.88,180.34,4.65,0.5,5.12,0.51,0.0,0.0,0.5,0.0,77.11064,24.56125941136208,Yusaku Kinoshita
165.1,170.18,4.02,0.46,4.54,0.6,0.77,0.25,0.65,0.0,56.699,32.45448323066393,JJ Aldrich
165.1,170.18,1.93,0.4,4.48,0.27,5.1,0.6,0.0,0.8,56.699,28.629705681040384,Liang Na
182.88,187.96,3.48,0.38,3.02,0.47,0.87,0.54,0.69,0.0,65.77083999999999,32.3586584531143,SeungWoo Choi
180.34,185.42,1.67,0.38,2.93,0.52,0.0,0.0,0.33,0.5,65.77083999999999,30.321697467488022,Jarno Errens
180.34,182.88,7.25,0.61,3.51,0.61,0.43,0.42,0.62,0.4,61.23492,30.38740588637919,Sean O'Malley
170.18,180.34,4.73,0.52,2.41,0.58,1.97,0.24,0.45,0.8,61.23492,35.619438740588635,Aljamain Sterling
162.56,160.02,5.94,0.51,3.44,0.53,2.29,0.42,0.66,0.4,52.16308,35.58384668035592,Zhang Weili
162.56,165.1,3.54,0.55,4.66,0.42,0.82,0.55,0.55,0.8,52.16308,37.81245722108145,Amanda Lemos
190.5,187.96,6.67,0.56,3.58,0.53,0.67,0.75,0.69,0.0,77.11064,27.32101300479124,Ian Garry
190.5,203.2,3.45,0.46,2.4,0.53,2.22,0.4,0.55,0.3,77.11064,37.61259411362081,Neil Magny
175.26,175.26,5.32,0.51,4.2,0.53,2.72,0.5,0.56,1.3,61.23492,31.701574264202602,Mario Bautista
177.8,182.88,4.28,0.47,4.09,0.48,2.34,0.37,0.66,0.8,61.23492,30.587268993839835,Da'Mon Blackshear
172.72,177.8,4.37,0.5,5.16,0.51,0.58,0.39,0.7,0.9,61.23492,32.27926078028747,Marlon Vera
167.64,165.1,5.45,0.43,6.14,0.56,0.47,0.19,0.82,0.5,61.23492,38.5160848733744,Pedro Munhoz
185.42,187.96,3.38,0.43,3.03,0.56,0.81,0.26,0.82,0.0,83.91452,37.229295003422315,Brad Tavares
187.96,198.12,2.98,0.43,3.27,0.5,3.6,0.43,0.65,0.8,83.91452,40.73921971252567,Chris Weidman
190.5,190.5,5.99,0.55,5.67,0.51,2.4,0.5,1.0,0.5,83.91452,33.07049965776865,Gregory Rodrigues
185.42,195.58,5.04,0.41,5.83,0.4,0.0,0.0,0.69,0.0,83.91452,36.824093086926766,Denis Tiuliulin
180.34,177.8,4.89,0.44,4.44,0.48,0.87,0.36,0.5,1.1,70.30676,38.51334702258727,Kurt Holobaugh
177.8,180.34,3.83,0.46,3.37,0.56,1.55,0.52,0.63,0.0,70.30676,33.22655715263518,Austin Hubbard
167.64,162.56,4.8,0.51,4.57,0.5,1.0,0.2,0.5,0.0,61.23492,33.23477070499658,Brad Katona
177.8,180.34,4.75,0.45,4.73,0.55,1.35,0.35,0.64,0.3,61.23492,37.50581793292265,Cody Gibson
182.88,185.42,3.68,0.51,2.99,0.51,4.56,0.54,0.71,2.5,83.91452,33.75496235455168,Andre Petroski
185.42,195.58,3.3,0.44,3.5,0.53,2.01,0.37,0.34,1.5,83.91452,37.23750855578371,Gerald Meerschaert
162.56,165.1,5.2,0.48,2.23,0.65,0.68,0.33,0.92,0.0,56.699,28.10677618069815,Natalia Silva
167.64,175.26,4.91,0.47,3.69,0.63,1.84,0.57,0.54,0.6,56.699,36.0848733744011,Andrea Lee
165.1,170.18,3.37,0.35,3.37,0.5,2.45,0.6,0.0,4.1,56.699,31.279945242984258,Karine Silva
170.18,170.18,4.15,0.31,4.42,0.53,0.67,0.22,0.45,0.7,56.699,33.51403148528405,Maryna Moroz
180.34,190.5,5.17,0.52,5.15,0.52,1.04,0.6,0.62,0.7,77.11064,33.295003422313485,Vicente Luque
172.72,177.8,3.52,0.47,3.19,0.6,2.01,0.35,0.56,0.6,77.11064,40.380561259411365,Rafael Dos Anjos
172.72,177.8,4.7,0.5,3.84,0.59,1.09,0.52,0.61,0.4,65.77083999999999,41.36344969199179,Cub Swanson
172.72,185.42,5.45,0.5,3.37,0.56,0.0,0.0,0.65,0.0,65.77083999999999,33.700205338809035,Hakeem Dawodu
185.42,193.04,3.73,0.38,4.16,0.5,0.0,0.0,0.56,0.1,92.98636,35.044490075290895,Khalil Rountree Jr.
190.5,193.04,6.05,0.5,4.64,0.55,0.0,0.0,1.0,0.0,92.98636,35.46611909650924,Chris Daukaus
160.02,167.64,3.33,0.39,3.23,0.67,2.33,0.66,0.66,0.4,52.16308,23.17864476386037,Iasmin Lucindo
165.1,170.18,3.19,0.41,2.63,0.55,0.93,0.33,0.43,2.1,52.16308,32.747433264887064,Polyana Viana
185.42,193.04,4.38,0.47,5.25,0.47,1.82,0.75,0.64,0.3,83.91452,33.152635181382614,AJ Dobson
182.88,195.58,5.57,0.52,4.11,0.54,0.76,0.57,0.64,0.0,83.91452,30.414784394250514,Tafon Nchukwi
187.96,203.2,2.84,0.48,3.92,0.49,1.44,0.4,0.69,0.1,83.91452,36.539356605065024,Jamie Pickett
172.72,175.26,3.42,0.48,1.81,0.77,0.0,0.0,1.0,1.6,61.23492,34.85284052019165,Marcus McGhee
165.1,170.18,1.88,0.39,3.02,0.4,1.55,0.25,0.25,2.3,61.23492,28.870636550308006,JP Buys
177.8,185.42,4.03,0.51,2.51,0.45,3.56,0.36,0.85,1.0,70.30676,30.494182067077343,Terrance McKinney
177.8,177.8,5.22,0.42,7.02,0.41,1.37,0.33,0.62,0.0,70.30676,35.89596167008898,Mike Breeden
170.18,180.34,7.29,0.66,0.42,0.71,3.13,1.0,0.0,0.0,65.77083999999999,28.692676249144423,Isaac Dulgarian
175.26,182.88,3.66,0.33,4.07,0.53,3.29,0.5,0.0,0.7,65.77083999999999,26.031485284052017,Francis Marshall
193.04,195.58,5.62,0.52,5.4,0.55,0.3,0.5,1.0,0.3,120.20188,33.3388090349076,Martin Buday
193.04,200.66,4.54,0.48,4.81,0.41,0.99,0.33,0.46,0.2,120.20188,35.709787816563995,Josh Parisian
160.02,172.72,3.42,0.52,1.81,0.62,1.57,0.23,0.0,3.7,52.16308,29.72210814510609,Jaqueline Amorim
152.4,154.94,0.82,0.28,4.24,0.42,2.56,0.83,0.66,1.0,52.16308,32.106776180698155,Montserrat Conejo Ruiz
182.88,180.34,2.16,0.63,1.72,0.51,0.44,0.5,0.33,0.4,61.23492,29.817932922655714,Jose Johnson
167.64,170.18,17.1,0.6,6.52,0.68,0.0,0.0,1.0,0.0,56.699,24.908966461327857,Luana Santos
170.18,167.64,3.31,0.45,4.75,0.32,1.84,0.44,0.0,1.8,56.699,28.851471594798085,Juliana Miller
180.34,177.8,5.33,0.44,3.4,0.58,1.36,0.33,0.64,0.3,61.23492,32.89801505817933,Cory Sandhagen
172.72,180.34,5.71,0.45,3.7,0.57,0.96,0.37,0.46,0.4,61.23492,37.719370294318956,Rob Font
165.1,167.64,4.27,0.63,1.38,0.51,6.2,0.61,1.0,0.9,52.16308,34.234086242299796,Tatiana Suarez
154.94,157.48,6.68,0.5,5.34,0.54,2.54,0.54,0.7,0.4,52.16308,33.46748802190281,Jessica Andrade
190.5,193.04,5.46,0.46,4.02,0.59,0.4,0.25,0.6,0.0,92.98636,36.941820670773446,Dustin Jacoby
195.58,210.82,4.86,0.46,4.27,0.51,0.68,0.5,0.8,0.3,92.98636,32.7501711156742,Kennedy Nzechukwu
180.34,182.88,2.12,0.5,4.92,0.36,0.0,0.0,0.33,5.6,65.77083999999999,30.203969883641342,Diego Lopes
167.64,167.64,4.29,0.44,4.18,0.57,3.13,0.44,0.53,1.5,65.77083999999999,38.74058863791923,Gavin Tucker
187.96,190.5,4.7,0.52,2.75,0.58,0.0,0.0,0.63,0.0,92.98636,33.61533196440794,Tanner Boser
185.42,187.96,4.73,0.57,4.26,0.54,0.46,0.22,0.5,0.0,92.98636,29.467488021902806,Aleksa Camur
170.18,182.88,3.49,0.54,3.53,0.53,1.52,0.45,0.83,0.0,70.30676,30.05612594113621,Ludovit Klein
190.5,190.5,6.97,0.46,4.36,0.57,0.0,0.0,0.85,0.4,70.30676,27.54551676933607,Ignacio Bahamondes
172.72,182.88,5.36,0.46,3.36,0.61,2.87,0.46,0.7,0.6,61.23492,29.754962354551676,Kyler Phillips
170.18,170.18,5.38,0.51,5.03,0.61,1.8,0.37,0.9,0.4,61.23492,37.869952087611225,Raoni Barcelos
182.88,193.04,2.93,0.49,2.44,0.53,2.05,0.29,0.55,0.8,77.11064,37.68104038329911,Carlston Harris
175.26,187.96,2.52,0.45,1.14,0.47,3.89,0.43,1.0,1.2,77.11064,38.3709787816564,Jeremiah Wells
177.8,177.8,7.71,0.57,5.61,0.43,1.31,0.23,0.63,1.2,65.77083999999999,36.26283367556468,Billy Quarantillo
180.34,180.34,3.02,0.4,3.46,0.5,2.44,0.34,0.4,1.6,65.77083999999999,36.596851471594796,Damon Jackson
170.18,170.18,3.13,0.49,2.94,0.52,5.41,0.5,0.8,0.4,56.699,33.960301163586585,Cody Durden
170.18,177.8,3.42,0.44,3.2,0.6,0.32,0.25,0.35,2.2,56.699,28.61054072553046,Jake Hadley
187.96,198.12,5.41,0.46,4.0,0.57,0.71,0.8,0.83,0.5,65.77083999999999,32.766598220396986,Sean Woodson
175.26,177.8,3.29,0.43,4.71,0.41,1.0,0.3,0.73,0.3,65.77083999999999,27.449691991786448,Dennis Buzukja
162.56,165.1,3.18,0.65,0.49,0.77,3.67,0.4,0.0,3.7,56.699,31.132101300479125,Assu Almabayev
